PAPER,Solymos_Lele_2012_GEB,Not_in_KAT,KAT_ref_no,CITATION
spengler2011,,1,,"Anna Spengler, Peter Hartmann, Damayanti Buchori and Christian H. Schulze. How island size and isolation affect bee and wasp ensembles on small tropical islands: a case study from Kepulauan Seribu, Indonesia. Journal of Biogeography (J. Biogeogr.) (2011) 38, 247–258"
steadman1998,1,,255,"Steadman, D. W. and H. B. Freifeld (1998). Distribution, relative abundance, and habitat relationships of landbirds in the Vava’u group, kingdom of Tonga. The Condor 100, 609–628."
sven1978,,,202,"Nilsson, S.G. & Nilsson, I.N. (1978) Species richness and dispersal of vascular plants to islands in Lake Mockeln, southern Sweden. Ecology, 59, 473–480."
terborgh1971,,,264,"Terborgh, J. (1973) Chance, habitat and dispersal in distribution of birds in West Indies. Evolution, 27, 338–349."
terborgh1997,,,266,"Terborgh, J., Lopez L. & Tello J.S. (1997) Bird communities in transition: the Lago Guri Islands. Ecology, 78, 1494–1501."
triantis2005,,,271,"Triantis, K.A., Mylonas, M., Weiser, M.D., Lika, K. & Vardinoyannis, K. (2005) Species richness, environmental heterogeneity and area: a case study based on land snails in Skyros archipelago (Aegean Sea, Greece). Journal of Biogeography, 32, 1727–1735
"
triantis2008,,,273,"Triantis, K.A., Sfenthourakis, S. & Mylonas, M. (2008) Biodiversity patterns of terrestrial isopods from two island groups in the Aegean Sea (Greece): species-area relationship, small island effect, and nestedness. Ecoscience, 15, 169–181
"
usher1993,,1,,"Biogeography and Diversity of Ground-Dwelling Arthropods in Farm Woodlands. Author(s): M. B. Usher, J. P. Field, S. E. Bedford. Source: Biodiversity Letters, Vol. 1, No. 2 (Mar., 1993), pp. 54-62"
usher1998,,1,,"MICHAEL B. USHER and SCOTT W. J. KEILLER. The macrolepidoptera of farm woodlands: determinants of diversity and community structure. Biodiversity and Conservation 7, 725±748 (1998)"
vaisanen1977,1,,279,"Väisänen, R. A. and O. Järvinen (1977). Dynamics of protected bird communities in a Finnish archipelago. Journal of Animal Ecology 46, 891–908."
vallan2000,,1,,"Denis Vallan. Infuence of forest fragmentation on amphibian diversity in the nature reserve of Ambohitantely, highland Madagascar. Biological Conservation 96 (2000) 31-43"
viveiros2004,1,1,,"Viveiros De Castro, E. B. and F. A. S. Fernandez (2004). Determinants of differential extinction vulnerabilities of small mammals in Atlantic forest fragments in Brazil. Biological Conservation 119, 73–80."
vuilleumier1970,1,1,,"Vuilleumier, F. (1970). Insular biogeography in continental regions. i. the northern Andes of South America. The American Naturalist 104, 373–388."
watson2003,1,1,,"Watson, D. (2003). Long-term consequences of habitat fragmentation - highland birds in Oaxaca, Mexico. Biological Conservation 111, 283–303."
weissman1976,,,288,"Zoogeography of the Grasshoppers and Their Relatives (Orthoptera) on the California Channel Islands. Author(s): David B. Weissman and David C. Rentz. Source: Journal of Biogeography, Vol. 3, No. 2 (Jun., 1976), pp. 105-114"
weltherschultes1999,,,289,"F. W. Welter-Schultes and M. R. Williams. History, island area and habitat availability determine land snail species richness of Aegean islands. Journal of Biogeography, 26, 239–249"
wethered2005,1,1,,"Wethered, R. and M. Lawes (2005). Nestedness of bird assemblages in fragmented Afromontane forest: the effect of plantation forestry in the matrix. Biological Conservation 123, 125–137."
wilcox1986,,1,,"Insular Biogeography of the Montane Butterfly Faunas in the Great Basin: Comparison with Birds and Mammals. Author(s): Bruce A. Wilcox, Dennis D. Murphy, Paul R. Ehrlich, George T. Austin. Source: Oecologia, Vol. 69, No. 2 (1986), pp. 188-194"
williams1981,1,,295,"Williams, G. R. (1981). Aspects of avian island biogeography in New Zealand. Journal of Biogeography 8, 439–456."
williams1982,,,296,"G. R. WILLIAMS. SPECIES - AREA AND SIMILAR RELATIONSHIPS OF INSECTS AND VASCULAR PLANTS ON THE SOUTHERN OUT LYING ISLANDS OF NEW ZEALAND. NEW ZEALAND JOURNAL OF ECOLOGY, VOL. 5, 1982, pp. 86-96."
wilson1967,,,297,"Edward O. Wilson and George L. Hunt, Jr. ANT FAUNA OF FUTUNA AND WALLIS ISLANDS, STEPPING STONES TO POLYNESIA. PACIFIC INSECTS, 9(4), 563-584, 1967"
woinarski1998,,,302,"J. C. Z. Woinarski, Hanna Reichel and A. N. Andersen. The distribution of ants on the Wessel and English Company Islands, in the seasonal tropics of Australia’s Northern Territory. Australian Journal of Zoology, 1998, 46, 557–-578
"
woodroffe1986,1,,303,"Woodroffe, C. D. (1986). Vascular plant species-area relationships on Nui atoll, Tuvalu, central pacific: a reassessment of the small island effect. Austral Ecology 11, 21–31."
yeakley2000,1,1,,"Yeakley, J. A. and J. F. Weishampel (2000). Multiple source pools and dispersal barriers for Galapagos plant species distribution. Ecology 81, 893."
yiming1998,,,305,"Nested Distribution of Amphibians in the Zhoushan archipelago, China: Can Selective Extinction Cause Nested Subsets of Species? Author(s): L. Yiming, J. Niemelä, L. Dianmo, J. Niemelã. Source: Oecologia, Vol. 113, No. 4 (1998), pp. 557-564"
zalewski2006,,,307,"Marcin Zalewski and Werner Ulrich. Dispersal as a key element of community structure: the case of ground beetles on lake islands. Diversity and Distributions, (Diversity Distrib.) (2006) 12, 767–775"
